OK
1478534812.099216 [0 127.0.0.1:42663] "HGETALL" "user4046878665874081108"
1478534812.099945 [0 127.0.0.1:42663] "HGETALL" "user8868868537807558711"
1478534812.100608 [0 127.0.0.1:42663] "HGETALL" "user1829523410770733755"
1478534812.101269 [0 127.0.0.1:42663] "HGETALL" "user3956449419912651136"
1478534812.101974 [0 127.0.0.1:42663] "HGETALL" "user5817347222824138717"
1478534812.102668 [0 127.0.0.1:42663] "HMSET" "user2982192491317769473" "field7" "3Ky2?z7F=-\" &,x*Xu1Rc*Zq2Ks>+643*%+t&E#%]!*4,)]\x7f.Wi\"W?%/>1/t3!n7..0A?)G95208[o.Su:As#J-)Vs#]/8Z+?-p#"
1478534812.103050 [0 127.0.0.1:42663] "HGETALL" "user427124512099633072"
1478534812.103748 [0 127.0.0.1:42663] "HGETALL" "user8396187757432912088"
1478534812.104445 [0 127.0.0.1:42663] "HGETALL" "user4288574356201733490"
1478534812.105193 [0 127.0.0.1:42663] "HGETALL" "user3710067547565731073"
1478534812.105889 [0 127.0.0.1:42663] "HGETALL" "user6164213995759621244"
1478534812.106625 [0 127.0.0.1:42663] "HGETALL" "user6294714185218053021"
1478534812.107328 [0 127.0.0.1:42663] "HGETALL" "user3468931817750219139"
1478534812.107985 [0 127.0.0.1:42663] "HGETALL" "user4645373453687891827"
1478534812.108674 [0 127.0.0.1:42663] "HGETALL" "user4424102372973731513"
1478534812.109360 [0 127.0.0.1:42663] "HGETALL" "user6872442718124073107"
1478534812.110057 [0 127.0.0.1:42663] "HGETALL" "user1573987489603120213"
1478534812.110714 [0 127.0.0.1:42663] "HGETALL" "user8753205170136912308"
1478534812.111383 [0 127.0.0.1:42663] "HGETALL" "user2408371864701034737"
1478534812.111851 [0 127.0.0.1:42663] "HGETALL" "user1693995393998735732"
1478534812.112386 [0 127.0.0.1:42663] "HGETALL" "user4761255136576380113"
1478534812.112851 [0 127.0.0.1:42663] "HGETALL" "user8627391162697748212"
1478534812.113397 [0 127.0.0.1:42663] "HGETALL" "user3927430721990606037"
1478534812.113881 [0 127.0.0.1:42663] "HGETALL" "user5450397485569462687"
1478534812.114372 [0 127.0.0.1:42663] "HGETALL" "user190674964303388819"
1478534812.114906 [0 127.0.0.1:42663] "HGETALL" "user4640687271668624146"
1478534812.115336 [0 127.0.0.1:42663] "HGETALL" "user3820921403140653113"
1478534812.115707 [0 127.0.0.1:42663] "HGETALL" "user1005413005517793606"
1478534812.116194 [0 127.0.0.1:42663] "HGETALL" "user6174146320310297054"
1478534812.116573 [0 127.0.0.1:42663] "HGETALL" "user286350352796226920"
1478534812.116945 [0 127.0.0.1:42663] "HGETALL" "user3237168451973242567"
1478534812.117347 [0 127.0.0.1:42663] "HGETALL" "user9125182734705154584"
1478534812.117745 [0 127.0.0.1:42663] "HGETALL" "user281664170776959239"
1478534812.118099 [0 127.0.0.1:42663] "HGETALL" "user4389837532520278285"
1478534812.118477 [0 127.0.0.1:42663] "HGETALL" "user1361870457709653378"
1478534812.118937 [0 127.0.0.1:42663] "HGETALL" "user3338649943509629245"
1478534812.119319 [0 127.0.0.1:42663] "HGETALL" "user8873773035044668275"
1478534812.119675 [0 127.0.0.1:42663] "HGETALL" "user5354162136564484138"
1478534812.120027 [0 127.0.0.1:42663] "HGETALL" "user4505159254896626123"
1478534812.120410 [0 127.0.0.1:42663] "HGETALL" "user885063455827879522"
1478534812.120777 [0 127.0.0.1:42663] "HGETALL" "user5827061232156972644"
1478534812.121138 [0 127.0.0.1:42663] "HGETALL" "user5349475954545216457"
1478534812.121520 [0 127.0.0.1:42663] "HGETALL" "user1573987489603120213"
1478534812.121876 [0 127.0.0.1:42663] "HGETALL" "user7717537693502645772"
1478534812.122300 [0 127.0.0.1:42663] "HGETALL" "user1573987489603120213"
1478534812.122653 [0 127.0.0.1:42663] "HGETALL" "user995698996184959679"
1478534812.123021 [0 127.0.0.1:42663] "HGETALL" "user4042192483854813427"
1478534812.123411 [0 127.0.0.1:42663] "HGETALL" "user5817347222824138717"
1478534812.123763 [0 127.0.0.1:42663] "HGETALL" "user1829523410770733755"
1478534812.124116 [0 127.0.0.1:42663] "HGETALL" "user8411147909297154144"
1478534812.124540 [0 127.0.0.1:42663] "HGETALL" "user3806302896570709622"
1478534812.124891 [0 127.0.0.1:42663] "HGETALL" "user5344789772525948776"
1478534812.125263 [0 127.0.0.1:42663] "HGETALL" "user1347251951139709887"
1478534812.125629 [0 127.0.0.1:42663] "HGETALL" "user6168558532484590360"
1478534812.126461 [0 127.0.0.1:42663] "HGETALL" "user991012814165691998"
1478534812.126859 [0 127.0.0.1:42663] "HGETALL" "user4394523714539545966"
1478534812.127171 [0 127.0.0.1:42663] "HGETALL" "user4534737913330811670"
1478534812.127475 [0 127.0.0.1:42663] "HGETALL" "user5113244721966814087"
1478534812.127798 [0 127.0.0.1:42663] "HGETALL" "user3594185864677242787"
1478534812.128163 [0 127.0.0.1:42663] "HGETALL" "user4534737913330811670"
1478534812.128478 [0 127.0.0.1:42663] "HGETALL" "user6647045415902785560"
1478534812.128766 [0 127.0.0.1:42663] "HGETALL" "user4640687271668624146"
1478534812.129057 [0 127.0.0.1:42663] "HGETALL" "user6043304485557566712"
1478534812.129386 [0 127.0.0.1:42663] "HGETALL" "user1236834726000471613"
1478534812.129715 [0 127.0.0.1:42663] "HGETALL" "user2398657855368200810"
1478534812.130008 [0 127.0.0.1:42663] "HGETALL" "user3810989078589977303"
1478534812.130315 [0 127.0.0.1:42663] "HGETALL" "user2528939729608790704"
1478534812.130610 [0 127.0.0.1:42663] "HGETALL" "user1005413005517793606"
1478534812.130927 [0 127.0.0.1:42663] "HGETALL" "user6882935003186889365"
1478534812.131219 [0 127.0.0.1:42663] "HGETALL" "user7827613273347585481"
1478534812.131526 [0 127.0.0.1:42663] "HGETALL" "user8647597457093398397"
1478534812.131820 [0 127.0.0.1:42663] "HGETALL" "user8421080233847829954"
1478534812.132112 [0 127.0.0.1:42663] "HGETALL" "user5918050438630543064"
1478534812.132426 [0 127.0.0.1:42663] "HGETALL" "user1337537941806875960"
1478534812.132714 [0 127.0.0.1:42663] "HGETALL" "user6405349725575133178"
1478534812.133016 [0 127.0.0.1:42663] "HGETALL" "user3589499682657975106"
1478534812.133334 [0 127.0.0.1:42663] "HGETALL" "user7711731590459097195"
1478534812.133624 [0 127.0.0.1:42663] "HGETALL" "user1211723934367711864"
1478534812.133916 [0 127.0.0.1:42663] "HGETALL" "user1694555354510876180"
1478534812.134379 [0 127.0.0.1:42663] "HMSET" "user778895782272225163" "field0" "2Rc6M-3G1%Z5.=t&?*&No2]'1:$5P/'Je'Cu><(1\"~8&\"$Vs @?<\"6!<&4\\73E\x7f2Ek:\\/!&(8.d+%v--0$\\51S'150.364(n<7`6"
1478534812.134546 [0 127.0.0.1:42663] "HGETALL" "user1347251951139709887"
1478534812.134853 [0 127.0.0.1:42663] "HGETALL" "user5108340224729704523"
1478534812.135163 [0 127.0.0.1:42663] "HGETALL" "user4987430714527649991"
1478534812.135477 [0 127.0.0.1:42663] "HGETALL" "user508181394022527682"
1478534812.135769 [0 127.0.0.1:42663] "HGETALL" "user3126532911616162410"
1478534812.136072 [0 127.0.0.1:42663] "HGETALL" "user1361870457709653378"
1478534812.136380 [0 127.0.0.1:42663] "HGETALL" "user7817899264014751554"
1478534812.136678 [0 127.0.0.1:42663] "HGETALL" "user6149253843895379188"
1478534812.136970 [0 127.0.0.1:42663] "HGETALL" "user4038066262347686194"
1478534812.137332 [0 127.0.0.1:42663] "HGETALL" "user3820921403140653113"
1478534812.137621 [0 127.0.0.1:42663] "HGETALL" "user5937696772514052801"
1478534812.137913 [0 127.0.0.1:42663] "HGETALL" "user1573987489603120213"
1478534812.138207 [0 127.0.0.1:42663] "HGETALL" "user4520337721978710062"
1478534812.138531 [0 127.0.0.1:42663] "HGETALL" "user2408371864701034737"
1478534812.138865 [0 127.0.0.1:42663] "HGETALL" "user7099738217099623881"
1478534812.139218 [0 127.0.0.1:42663] "HGETALL" "user8421080233847829954"
1478534812.139606 [0 127.0.0.1:42663] "HGETALL" "user2885957142312790924"
1478534812.139946 [0 127.0.0.1:42663] "HGETALL" "user880377273808611841"
1478534812.140304 [0 127.0.0.1:42663] "HGETALL" "user3112132720264060802"
1478534812.140641 [0 127.0.0.1:42663] "HGETALL" "user6285000175885219094"
1478534812.141006 [0 127.0.0.1:42663] "HGETALL" "user6998256725563237203"
1478534812.141367 [0 127.0.0.1:42663] "HGETALL" "user2645039727715120873"
1478534812.141710 [0 127.0.0.1:42663] "HGETALL" "user6877907175873323119"
1478534812.142051 [0 127.0.0.1:42663] "HGETALL" "user980520529102875740"
1478534812.142421 [0 127.0.0.1:42663] "HGETALL" "user8502137115770724564"
1478534812.142772 [0 127.0.0.1:42663] "HGETALL" "user2287803999793278770"
1478534812.143146 [0 127.0.0.1:42663] "HGETALL" "user190674964303388819"
1478534812.143504 [0 127.0.0.1:42663] "HGETALL" "user3695667356213629465"
1478534812.143851 [0 127.0.0.1:42663] "HGETALL" "user5831747414176240325"
1478534812.144183 [0 127.0.0.1:42663] "HGETALL" "user9115250410154478774"
1478534812.144557 [0 127.0.0.1:42663] "HGETALL" "user7008189050113913013"
1478534812.144900 [0 127.0.0.1:42663] "HGETALL" "user5817347222824138717"
1478534812.145259 [0 127.0.0.1:42663] "HGETALL" "user1573987489603120213"
1478534812.145594 [0 127.0.0.1:42663] "HGETALL" "user5821815089625564515"
1478534812.145940 [0 127.0.0.1:42663] "HGETALL" "user7450949526760075524"
1478534812.146295 [0 127.0.0.1:42663] "HGETALL" "user7711731590459097195"
1478534812.146628 [0 127.0.0.1:42663] "HGETALL" "user6988542716230403276"
1478534812.146947 [0 127.0.0.1:42663] "HGETALL" "user3931338628279891387"
1478534812.147259 [0 127.0.0.1:42663] "HGETALL" "user6415282050125808988"
1478534812.147538 [0 127.0.0.1:42663] "HGETALL" "user6641457628077078866"
1478534812.147820 [0 127.0.0.1:42663] "HGETALL" "user4997922999590466249"
1478534812.148101 [0 127.0.0.1:42663] "HGETALL" "user185428821771980690"
1478534812.148401 [0 127.0.0.1:42663] "HGETALL" "user8502137115770724564"
1478534812.148678 [0 127.0.0.1:42663] "HGETALL" "user7827613273347585481"
1478534812.149055 [0 127.0.0.1:42663] "HMSET" "user3468931817750219139" "field8" "%'v/Do5Qk.S5%->!G-*W#0 p:,$-[q:=v>-t W{+Z!3#j*?x,5,(1\"?&x?G? S;8Iu$3l6N+3:$1Y1)M?4&v>>x*1`1Mg+Dy0%f."
1478534812.149225 [0 127.0.0.1:42663] "HGETALL" "user7934122592197538405"
1478534812.149535 [0 127.0.0.1:42663] "HGETALL" "user6168558532484590360"
1478534812.149815 [0 127.0.0.1:42663] "HGETALL" "user5455083667588730368"
1478534812.150102 [0 127.0.0.1:42663] "HGETALL" "user8421080233847829954"
1478534812.150390 [0 127.0.0.1:42663] "HGETALL" "user8184630686051585701"
1478534812.150677 [0 127.0.0.1:42663] "HGETALL" "user8039170344728911868"
1478534812.150980 [0 127.0.0.1:42663] "HGETALL" "user8049444314573886243"
1478534812.151274 [0 127.0.0.1:42663] "HGETALL" "user5696219397404242302"
1478534812.151558 [0 127.0.0.1:42663] "HGETALL" "user7677466750005643967"
1478534812.151852 [0 127.0.0.1:42663] "HGETALL" "user8049662629791728126"
1478534812.152198 [0 127.0.0.1:42663] "HGETALL" "user5817347222824138717"
1478534812.152506 [0 127.0.0.1:42663] "HGETALL" "user6862728708791239180"
1478534812.152789 [0 127.0.0.1:42663] "HGETALL" "user181302600264853457"
1478534812.153082 [0 127.0.0.1:42663] "HGETALL" "user5817347222824138717"
1478534812.153455 [0 127.0.0.1:42663] "HGETALL" "user773649639740817034"
1478534812.153749 [0 127.0.0.1:42663] "HGETALL" "user1005413005517793606"
1478534812.154040 [0 127.0.0.1:42663] "HGETALL" "user8285893862370130496"
1478534812.154338 [0 127.0.0.1:42663] "HGETALL" "user6419968232145076669"
1478534812.154740 [0 127.0.0.1:42663] "HGETALL" "user2528598084314492139"
1478534812.155121 [0 127.0.0.1:42663] "HGETALL" "user7572077352179971939"
1478534812.155415 [0 127.0.0.1:42663] "HGETALL" "user2876024817762115114"
1478534812.155726 [0 127.0.0.1:42663] "HGETALL" "user8868868537807558711"
1478534812.156009 [0 127.0.0.1:42663] "HGETALL" "user7934122592197538405"
